,배우코드,영화제목,개봉날짜,배우이름,감독,출연진,평점
143,kim_yunseok,천하장사 마돈나,20060222,김윤석,이해영,['류덕환'],8.15
144,kim_yunseok,야수,20050345,김윤석,김성수,"['권상우', '유지태']",7.61
145,kim_yunseok,파랑주의보,20050332,김윤석,전윤수,"['차태현', '송혜교']",5.8
146,song_hyekyo,파랑주의보,20050332,송혜교,전윤수,"['차태현', '송혜교']",5.8
147,kim_yunseok,내 생애 가장 아름다운 일주일,20050232,김윤석,민규동,"['주현', '오미희', '천호진', '진태현', '엄정화', '황정민', '김수로', '전혜진', '임창정', '서영희', '윤진서', '정경호', '이병준', '김유정']",8.67
148,kim_yunseok,내 생애 가장 아름다운 일주일,20050232,김윤석,민규동,"['주현', '오미희', '천호진', '진태현', '엄정화', '황정민', '김수로', '전혜진', '임창정', '서영희', '윤진서', '정경호', '이병준', '김유정']",8.67
149,hwang_jeongmin,내 생애 가장 아름다운 일주일,20050232,황정민,민규동,"['주현', '오미희', '천호진', '진태현', '엄정화', '황정민', '김수로', '전혜진', '임창정', '서영희', '윤진서', '정경호', '이병준', '김유정']",8.67
150,hwang_jeongmin,내 생애 가장 아름다운 일주일,20050232,황정민,민규동,"['주현', '오미희', '천호진', '진태현', '엄정화', '황정민', '김수로', '전혜진', '임창정', '서영희', '윤진서', '정경호', '이병준', '김유정']",8.67
151,kim_yunseok,시실리 2km,20040617,김윤석,신정원,"['임창정', '권오중', '임은경', '변희봉']",8.1
152,kim_yunseok,범죄의 재구성,20040487,김윤석,최동훈,"['박신양', '백윤식', '염정아', '이문식']",8.8
153,kim_yunseok,베사메무쵸,20010022,김윤석,전윤수,"['이미숙', '전광렬']",7.08
154,kim_taeri,외계+인 1부,20208446,김태리,최동훈,"['김태리', '류준열', '김우빈', '소지섭', '염정아', '조우진', '김의성']",7.3
155,kim_taeri,승리호,20192662,김태리,조성희,"['송중기', '김태리', '진선규', '유해진']",7.0
156,kim_taeri,승리호,20192662,김태리,조성희,"['송중기', '김태리', '진선규', '유해진']",7.0
157,yoo_haejin,승리호,20192662,유해진,조성희,"['송중기', '김태리', '진선규', '유해진']",7.0
158,yoo_haejin,승리호,20192662,유해진,조성희,"['송중기', '김태리', '진선규', '유해진']",7.0
159,kim_taeri,리틀 포레스트,20170841,김태리,임순례,"['김태리', '류준열', '문소리', '진기주']",8.84
160,moon_sori,리틀 포레스트,20170841,문소리,임순례,"['김태리', '류준열', '문소리', '진기주']",8.84
161,kim_taeri,아가씨,20144444,김태리,박찬욱,"['김민희', '김태리', '하정우', '조진웅']",7.15
162,moon_sori,아가씨,20144444,문소리,박찬욱,"['김민희', '김태리', '하정우', '조진웅']",7.15
163,ha_jungwoo,아가씨,20144444,하정우,박찬욱,"['김민희', '김태리', '하정우', '조진웅']",7.15
164,kim_taeri,문영,20160881,김태리,김소연,"['김태리', '정현']",8.48
165,kim_hyesoo,밀수,20218541,김혜수,류승완,"['김혜수', '염정아', '조인성', '박정민', '고민시', '김종수']",0.0
166,kim_hyesoo,밀수,20218541,김혜수,류승완,"['김혜수', '염정아', '조인성', '박정민', '고민시', '김종수']",0.0
167,jo_inseong,밀수,20218541,조인성,류승완,"['김혜수', '염정아', '조인성', '박정민', '고민시', '김종수']",0.0
168,jo_inseong,밀수,20218541,조인성,류승완,"['김혜수', '염정아', '조인성', '박정민', '고민시', '김종수']",0.0
169,kim_hyesoo,내가 죽던 날,20190582,김혜수,박지완,"['김혜수', '이정은', '노정의']",7.99
170,kim_hyesoo,국가부도의 날,20177552,김혜수,최국희,"['김혜수', '유아인', '허준호', '조우진', '뱅상 카셀']",8.12
171,kim_hyesoo,미옥,20161681,김혜수,이안규,"['김혜수', '이선균']",4.97
172,kim_hyesoo,굿바이 싱글,20150972,김혜수,김태곤,"['김혜수', '마동석', '김현수']",8.1
173,kim_hyesoo,차이나타운,20149266,김혜수,한준희,"['김혜수', '김고은', '엄태구']",6.96
174,kim_hyesoo,관상,20126091,김혜수,한재림,"['송강호', '이정재', '백윤식', '조정석', '이종석', '김혜수']",8.02
175,kim_hyesoo,관상,20126091,김혜수,한재림,"['송강호', '이정재', '백윤식', '조정석', '이종석', '김혜수']",8.02
176,song_kangho,관상,20126091,송강호,한재림,"['송강호', '이정재', '백윤식', '조정석', '이종석', '김혜수']",8.02
177,song_kangho,관상,20126091,송강호,한재림,"['송강호', '이정재', '백윤식', '조정석', '이종석', '김혜수']",8.02
178,lee_jungjae,관상,20126091,이정재,한재림,"['송강호', '이정재', '백윤식', '조정석', '이종석', '김혜수']",8.02
179,lee_jungjae,관상,20126091,이정재,한재림,"['송강호', '이정재', '백윤식', '조정석', '이종석', '김혜수']",8.02
180,kim_hyesoo,이층의 악당,20101113,김혜수,손재곤,"['한석규', '김혜수']",8.08
181,kim_hyesoo,열한번째 엄마,20070545,김혜수,김진성,"['김혜수', '김영찬']",8.07
182,kim_hyesoo,좋지 아니한가,20070042,김혜수,정윤철,"['천호진', '문희경', '김혜수', '유아인', '황보라']",7.72
183,kim_hyesoo,분홍신,20050135,김혜수,김용균,"['김혜수', '김성수']",5.55
184,kim_hyesoo,얼굴 없는 미녀,20040625,김혜수,김인식,"['김혜수', '김태우']",6.01
185,kim_hyesoo,쓰리,20020228,김혜수,논지 니미부트르,"['김혜수', '정보석', '콤그리치 유티용', '수위니트 판자마와트', '퐁사나트 빈시리', '여명', '증지위', '원려기']",7.13
186,kim_hyesoo,신라의 달밤,20010027,김혜수,김상진,"['이성재', '차승원', '김혜수']",7.67
187,yoo_haejin,신라의 달밤,20010027,유해진,김상진,"['이성재', '차승원', '김혜수']",7.67
188,kim_hyesoo,닥터 K,19980004,김혜수,곽경택,"['차인표', '김혜수', '김하늘', '유인촌']",5.75
189,kim_hyesoo,투 타이어드 투 다이,19980014,김혜수,진원석,"['김혜수', '금성무', '미라 소르비노']",5.78
190,kim_hyesoo,찜,19980034,김혜수,한지승,"['김혜수', '안재욱']",7.06
191,kim_hyesoo,미스터 콘돔,19970055,김혜수,양윤호,"['김혜수', '김호진']",3.39
192,kim_hyesoo,닥터 봉,19950026,김혜수,이광훈,"['한석규', '김혜수']",6.9
193,kim_hyesoo,남자는 괴로워,19950040,김혜수,이명세,"['안성기', '박상민', '김혜수']",7.93
194,kim_hyesoo,영원한 제국,19950037,김혜수,박종원,"['안성기', '조재현', '김혜수', '김명곤', '최종원']",7.38
195,kim_hyesoo,블루 시걸,19940016,김혜수,오중일,"['최민수', '김혜수']",2.24
196,kim_hyesoo,잃어버린 너,19910104,김혜수,원정수,"['김혜수', '강석우', '이경영']",7.77
197,kim_hyesoo,그 마지막 겨울,19880007,김혜수,정소영,"['김혜수', '이영하', '최민수']",10.0
198,kim_hyesoo,수렁에서 건진 내 딸 2,19860043,김혜수,김호선,"['김혜수', '남궁원', '민규', '김윤경', '이희성']",10.0
199,kim_hyesoo,깜보,19860014,김혜수,이황림,"['장두이', '박중훈', '김혜수']",8.81
200,moon_sori,세자매,20209926,문소리,이승원,"['문소리', '김선영', '장윤주']",8.67
201,moon_sori,세자매,20209926,문소리,이승원,"['문소리', '김선영', '장윤주']",8.67
202,moon_sori,인간증명,20201832,문소리,김의석,"['문소리', '장유상', '류아벨', '박종환']",0.0
203,moon_sori,배심원들,20187981,문소리,홍승완,"['문소리', '박형식']",8.91
204,moon_sori,메기,20181168,문소리,이옥섭,"['이주영', '문소리', '구교환', '천우희']",8.18
205,chun_woohee,메기,20181168,천우희,이옥섭,"['이주영', '문소리', '구교환', '천우희']",8.18
206,moon_sori,군산: 거위를 노래하다,20181086,문소리,장률,"['박해일', '문소리', '정진영', '박소담']",6.8
207,park_sodam,군산: 거위를 노래하다,20181086,박소담,장률,"['박해일', '문소리', '정진영', '박소담']",6.8
208,moon_sori,여배우는 오늘도,20172642,문소리,문소리,['문소리'],8.86
209,moon_sori,여배우는 오늘도,20172642,문소리,문소리,['문소리'],8.86
210,moon_sori,여배우는 오늘도,20172642,문소리,문소리,['문소리'],8.86
211,moon_sori,여배우는 오늘도,20172642,문소리,문소리,['문소리'],8.86
212,moon_sori,여배우는 오늘도,20172642,문소리,문소리,['문소리'],8.86
213,moon_sori,여배우는 오늘도,20158801,문소리,문소리,['문소리'],8.86
214,moon_sori,특별시민,20162871,문소리,박인제,"['최민식', '곽도원', '심은경', '문소리', '라미란', '류혜영', '이기홍']",7.38
215,moon_sori,특별시민,20162871,문소리,박인제,"['최민식', '곽도원', '심은경', '문소리', '라미란', '류혜영', '이기홍']",7.38
216,choi_minsik,특별시민,20162871,최민식,박인제,"['최민식', '곽도원', '심은경', '문소리', '라미란', '류혜영', '이기홍']",7.38
217,choi_minsik,특별시민,20162871,최민식,박인제,"['최민식', '곽도원', '심은경', '문소리', '라미란', '류혜영', '이기홍']",7.38
218,moon_sori,필름시대사랑,20152064,문소리,장률,"['박해일', '안성기', '문소리', '한예리']",5.24
219,moon_sori,자유의 언덕,20148840,문소리,홍상수,"['카세 료', '문소리', '서영화']",7.65
